-0.17, -0.03, 0.61, 0.39, -3.75, 3.57, 3.66, 0.75, -0.58, 0.34, 0.69, 0.24, 0.70, -0.16, 1.66, -3.07, 0.74, 0.63, 0.13, 0.42, 0.14, -0.24
-2.93, 1.93, 1.94, 0.47, -0.83, 0.47, 0.37, 0.35, 0.29, 10.86, 8.82, -1.97, 0.32, 0.95, 0.03, 0.42, -0.41, -0.18, -3.22, 1.31, 4.30, -0.17, 0.58, 0.84, -0.50, 0.31, -0.07, 5.80, -0.46, 2.70, 0.42, 0.87, 0.19, 0.13, 0.14, -0.28, -3.17, 4.86, 1.28, 0.73, -0.57, 0.74, 0.72, 0.34, 0.59, 0.81, 1.52, -0.62, 0.71, 0.70, -0.04, 0.38, 0.04, -0.23
-1.97, -2.96, 0.01, 0.48, -0.84, 0.47, 0.37, 0.36, 0.28, 11.90, 7.57, -3.23, 0.35, 0.95, 0.04, 0.42, -0.41, -0.18, -3.96, 4.30, 4.00, -0.17, 0.60, 0.84, -0.50, 0.30, -0.07, 3.54, 0.16, 2.71, 0.42, 0.87, 0.19, 0.13, 0.14, -0.28, -2.86, 2.61, 1.61, 0.73, -0.58, 0.74, 0.71, 0.34, 0.59, 0.20, 1.84, -0.96, 0.72, 0.69, -0.03, 0.39, 0.04, -0.23
-2.62, -4.13, 2.67, 0.48, -0.84, 0.44, 0.37, 0.36, 0.28, 9.94, 10.07, -3.24, 0.34, 0.95, 0.03, 0.43, -0.41, -0.19, -5.00, 3.03, 5.35, -0.19, 0.58, 0.83, -0.50, 0.30, -0.06, 9.29, 3.69, 1.32, 0.46, 0.85, 0.26, 0.13, 0.14, -0.28, -1.02, 0.61, 1.88, 0.71, -0.59, 0.70, 0.71, 0.34, 0.59, 5.20, 3.91, -0.36, 0.68, 0.65, 0.00, 0.43, 0.05, -0.24
-4.59, -4.29, 2.42, 0.46, -0.85, 0.40, 0.37, 0.36, 0.28, 7.54, 5.41, -3.48, 0.31, 0.95, 0.08, 0.43, -0.41, -0.19, -2.96, 7.51, 4.67, -0.20, 0.59, 0.82, -0.50, 0.30, -0.07, 1.27, 2.19, 3.10, 0.43, 0.87, 0.21, 0.13, 0.15, -0.28, -4.75, -2.25, 1.47, 0.68, -0.58, 0.73, 0.71, 0.34, 0.59, 1.47, 6.65, 0.15, 0.70, 0.73, -0.00, 0.39, 0.05, -0.24
-2.62, -4.48, 1.94, 0.45, -0.84, 0.42, 0.37, 0.36, 0.29, 9.07, 10.62, -5.69, 0.29, 0.95, 0.07, 0.43, -0.41, -0.18, -1.99, 7.93, 9.88, -0.20, 0.60, 0.82, -0.50, 0.31, -0.07, 6.32, 7.05, 1.98, 0.42, 0.87, 0.21, 0.13, 0.15, -0.28, -1.23, -0.88, 2.79, 0.69, -0.60, 0.70, 0.71, 0.34, 0.59, 2.62, 4.88, -0.57, 0.69, 0.70, 0.01, 0.40, 0.05, -0.23
-2.18, -4.82, 1.86, 0.43, -0.86, 0.40, 0.37, 0.35, 0.28, 8.99, 6.35, -4.46, 0.29, 0.95, 0.07, 0.43, -0.41, -0.18, -2.54, 7.66, 3.29, -0.18, 0.61, 0.81, -0.51, 0.31, -0.08, 2.53, 2.01, 1.02, 0.42, 0.87, 0.23, 0.14, 0.15, -0.28, -4.73, 0.17, 2.05, 0.69, -0.61, 0.70, 0.72, 0.34, 0.59, -1.64, 2.68, -0.98, 0.70, 0.73, 0.01, 0.40, 0.05, -0.23
-3.66, -3.41, 2.79, 0.44, -0.85, 0.42, 0.37, 0.35, 0.29, 10.58, 5.82, -4.79, 0.29, 0.96, 0.06, 0.43, -0.41, -0.18, -1.79, 3.99, 2.95, -0.19, 0.61, 0.83, -0.50, 0.31, -0.07, 5.72, 3.54, -0.79, 0.43, 0.87, 0.23, 0.14, 0.15, -0.27, -3.10, 1.28, 2.77, 0.71, -0.61, 0.72, 0.72, 0.34, 0.59, 0.16, 0.93, -1.59, 0.71, 0.71, -0.00, 0.40, 0.05, -0.24
-2.52, -3.99, 2.83, 0.46, -0.85, 0.43, 0.37, 0.36, 0.29, 11.54, 5.01, -5.76, 0.32, 0.97, 0.06, 0.43, -0.40, -0.19, -2.72, 2.78, 2.34, -0.19, 0.59, 0.84, -0.51, 0.32, -0.08, 5.07, 1.46, -0.70, 0.45, 0.87, 0.19, 0.14, 0.15, -0.27, -3.33, 1.84, 0.81, 0.73, -0.58, 0.73, 0.72, 0.34, 0.59, 0.45, 1.11, 0.03, 0.73, 0.71, -0.03, 0.40, 0.05, -0.23
-2.06, -3.24, 0.32, 0.49, -0.85, 0.44, 0.37, 0.36, 0.29, 11.40, 5.49, -2.77, 0.37, 0.95, 0.05, 0.43, -0.41, -0.19, -6.31, 4.58, 2.39, -0.19, 0.58, 0.85, -0.50, 0.32, -0.07, 6.99, 1.07, 4.00, 0.46, 0.88, 0.19, 0.14, 0.16, -0.28, -1.67, 1.08, -2.07, 0.73, -0.59, 0.71, 0.72, 0.34, 0.59, 2.30, 0.65, 2.69, 0.72, 0.71, -0.02, 0.40, 0.05, -0.22
-2.63, -3.89, -1.99, 0.47, -0.85, 0.41, 0.37, 0.36, 0.30, 12.61, 5.94, 1.65, 0.30, 0.96, 0.07, 0.43, -0.40, -0.19, -6.21, 5.48, 2.37, -0.21, 0.61, 0.84, -0.50, 0.31, -0.08, 7.13, 2.74, 5.40, 0.43, 0.87, 0.24, 0.14, 0.16, -0.28, -1.22, -1.74, 0.06, 0.71, -0.62, 0.70, 0.72, 0.34, 0.59, 2.46, 5.02, 3.10, 0.70, 0.71, -0.01, 0.40, 0.05, -0.22
-4.42, -7.53, -0.31, 0.44, -0.85, 0.41, 0.37, 0.36, 0.30, 11.64, 9.68, -1.26, 0.30, 0.97, 0.05, 0.43, -0.41, -0.18, -4.34, 8.09, 3.51, -0.18, 0.61, 0.83, -0.51, 0.32, -0.08, 7.55, 3.44, 3.04, 0.42, 0.86, 0.25, 0.14, 0.15, -0.28, -1.94, -1.80, 1.69, 0.71, -0.59, 0.71, 0.72, 0.34, 0.58, 3.06, 5.83, 0.54, 0.69, 0.69, -0.02, 0.40, 0.05, -0.23
-4.34, -8.52, 2.30, 0.45, -0.84, 0.41, 0.37, 0.36, 0.29, 8.50, 9.17, -4.71, 0.32, 0.95, 0.05, 0.43, -0.40, -0.18, -1.53, 8.42, 4.88, -0.16, 0.58, 0.83, -0.50, 0.31, -0.09, 2.54, 4.16, 2.00, 0.43, 0.86, 0.21, 0.15, 0.16, -0.28, -3.78, -1.20, 2.39, 0.70, -0.58, 0.69, 0.72, 0.34, 0.59, 1.33, 5.25, -0.24, 0.70, 0.69, -0.02, 0.40, 0.05, -0.23
-4.57, -4.10, 2.28, 0.45, -0.83, 0.44, 0.38, 0.36, 0.30, 8.96, 7.10, -4.34, 0.32, 0.94, 0.04, 0.44, -0.40, -0.19, -2.92, 4.70, 4.68, -0.17, 0.58, 0.83, -0.50, 0.31, -0.09, 6.36, 3.57, 0.18, 0.42, 0.86, 0.19, 0.15, 0.16, -0.28, -1.48, 1.47, 2.48, 0.70, -0.58, 0.73, 0.72, 0.34, 0.59, 3.90, 1.51, -1.23, 0.70, 0.71, -0.04, 0.40, 0.05, -0.22
-0.50, -4.81, 1.99, 0.46, -0.85, 0.44, 0.37, 0.36, 0.29, 12.87, 7.95, -3.19, 0.31, 0.95, 0.05, 0.43, -0.40, -0.18, -3.26, 4.03, 6.06, -0.17, 0.59, 0.84, -0.50, 0.31, -0.08, 7.22, 4.07, 1.24, 0.44, 0.87, 0.21, 0.15, 0.16, -0.28, -0.84, 0.42, 2.33, 0.71, -0.60, 0.71, 0.72, 0.34, 0.59, 2.67, 2.59, -0.70, 0.71, 0.72, -0.02, 0.40, 0.05, -0.23
-1.92, -3.53, 0.97, 0.45, -0.86, 0.43, 0.38, 0.36, 0.30, 13.57, 7.39, -1.88, 0.32, 0.96, 0.04, 0.44, -0.40, -0.19, -5.53, 3.57, 5.94, -0.17, 0.59, 0.86, -0.50, 0.31, -0.08, 10.95, 3.85, 1.77, 0.44, 0.87, 0.22, 0.15, 0.16, -0.28, 0.27, -0.53, 0.99, 0.70, -0.62, 0.69, 0.72, 0.33, 0.59, 6.62, 2.93, 1.26, 0.70, 0.71, -0.03, 0.40, 0.05, -0.23
0.12, -3.89, -2.39, 0.46, -0.84, 0.42, 0.37, 0.35, 0.30, 19.19, 8.24, 1.20, 0.32, 0.97, 0.03, 0.44, -0.40, -0.19, -6.52, 4.71, 6.83, -0.17, 0.59, 0.84, -0.50, 0.31, -0.09, 15.18, 3.62, 1.88, 0.45, 0.87, 0.22, 0.15, 0.16, -0.28, 3.72, -2.21, -0.55, 0.71, -0.60, 0.71, 0.72, 0.33, 0.58, 10.12, 2.61, 1.18, 0.72, 0.71, -0.03, 0.40, 0.05, -0.22
2.80, -4.72, -2.80, 0.46, -0.84, 0.39, 0.38, 0.35, 0.30, 20.18, 6.83, 4.90, 0.33, 0.96, 0.07, 0.44, -0.40, -0.20, -6.39, 0.14, 4.96, -0.19, 0.60, 0.84, -0.50, 0.31, -0.09, 15.06, 2.00, 3.83, 0.49, 0.86, 0.25, 0.16, 0.17, -0.28, 2.31, 2.88, -2.03, 0.72, -0.60, 0.69, 0.72, 0.33, 0.58, 6.76, 1.29, 1.84, 0.72, 0.71, 0.01, 0.40, 0.05, -0.22
0.50, -4.75, -1.82, 0.46, -0.86, 0.36, 0.38, 0.35, 0.30, 13.90, 7.85, 4.06, 0.31, 0.96, 0.10, 0.44, -0.40, -0.20, -6.11, 3.94, 4.22, -0.20, 0.60, 0.84, -0.51, 0.32, -0.08, 9.17, 0.31, 7.11, 0.45, 0.85, 0.28, 0.15, 0.16, -0.28, -1.64, 2.07, -2.30, 0.71, -0.62, 0.69, 0.72, 0.33, 0.58, 2.68, 0.79, 2.56, 0.72, 0.70, 0.00, 0.40, 0.06, -0.22
-2.52, -2.06, -1.58, 0.45, -0.86, 0.39, 0.38, 0.35, 0.29, 13.46, 3.01, 4.92, 0.29, 0.96, 0.11, 0.44, -0.40, -0.20, -6.68, 2.76, 2.15, -0.21, 0.61, 0.83, -0.51, 0.32, -0.08, 7.21, -3.13, 6.65, 0.42, 0.85, 0.27, 0.15, 0.17, -0.28, -1.67, 3.03, -2.39, 0.71, -0.62, 0.67, 0.72, 0.33, 0.58, 3.72, -0.85, 2.13, 0.70, 0.71, 0.01, 0.40, 0.06, -0.23
-2.14, -3.60, -0.89, 0.43, -0.86, 0.36, 0.38, 0.35, 0.30, 10.98, 5.49, 0.60, 0.27, 0.96, 0.11, 0.43, -0.40, -0.20, -4.60, 4.51, 2.80, -0.20, 0.62, 0.82, -0.51, 0.32, -0.08, 5.89, -0.49, 4.14, 0.43, 0.85, 0.30, 0.15, 0.17, -0.28, -3.54, 2.88, -1.56, 0.69, -0.64, 0.65, 0.72, 0.33, 0.59, 0.14, 0.10, 1.54, 0.69, 0.70, 0.02, 0.41, 0.05, -0.23
